GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score,
266.4,2614.6,0.1,418.8,0.05066,0.101937,0.952006,0.956569,0.953873,
397.2,2036.4,0.2,511.2,0.01438,0.191636,0.964518,0.981765,0.972787,
397.2,1346,0.3,468.4,0.006,0.292074,0.972349,0.982583,0.977244,
397.2,1005.2,0.4,432.2,0.00386,0.393083,0.976951,0.982315,0.979452,
397.2,802,0.5,427.2,0.00252,0.493316,0.984922,0.988982,0.986829,0.974
397.2,667,0.6,427,0.00166,0.591818,0.984577,0.990727,0.987525,
397.2,571,0.7,416,0.00124,0.687212,0.97986,0.991931,0.985598,
397.2,499,0.8,408.2,0.00108,0.768902,0.962973,0.997018,0.979026,
397.2,443.4,0.9,403.4,0.00094,0.863198,0.96221,0.998639,0.978822,0.9836
,,,,0.009148889,,,,0.977906222,
