GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score,,time ,,F1-score,
148.139,1481.58,0.1,153.389,0.150194,0.090525,0.900628,0.993465,0.935467,,0.1,0.150194,0.1,0.935467
277.306,1386.72,0.2,254.444,0.0154972,0.182508,0.910648,0.997223,0.944876,,0.2,0.0154972,0.2,0.944876
372.278,1240.89,0.3,318.25,0.00510278,0.277548,0.923591,0.998341,0.955924,,0.3,0.00510278,0.3,0.955924
449.25,1123.06,0.4,375.861,0.00310278,0.371175,0.9269,0.998993,0.958583,,0.4,0.00310278,0.4,0.958583
502.083,1004.17,0.5,414.306,0.00199722,0.467437,0.93408,0.99915,0.96287,,0.5,0.00199722,0.5,0.96287
539.583,899.278,0.6,442.556,0.00152778,0.556492,0.926892,0.999327,0.958717,,avg.,0.035178796,avg.,0.951544
549.417,784.917,0.7,501.75,0.00125278,0.665037,0.949514,0.999416,0.972437,,0.5,0.00199722,0.5,0.96287
550.417,687.889,0.8,497.917,0.00106944,0.758727,0.948031,0.999805,0.971621,,0.6,0.00152778,0.6,0.958717
550.417,611.556,0.9,512.694,0.000936111,0.860888,0.956273,0.999832,0.9762,,0.7,0.00125278,0.7,0.972437
,,,,0.020075566,,,,0.959632778,,0.8,0.00106944,0.8,0.971621
,,,,,,,,,,0.9,0.000936111,0.9,0.9762
,,,,,,,,,,avg.,0.001356666,avg.,0.968369
,,,,,,,,,,total avg.,0.020075566,total avg.,0.959632778
