GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,879.2,0.0531,0.103063,0.916884,0.927862,0.920463
927,4698.4,0.2,1114.2,0.01002,0.192977,0.965045,0.985292,0.974797
969.2,3285,0.3,1000.4,0.00502,0.285367,0.957616,0.990069,0.973102
969.2,2453.2,0.4,913.8,0.00314,0.391826,0.983785,0.99201,0.98774
969.2,1957.6,0.5,884.6,0.00244,0.486026,0.978105,0.996376,0.986867
969.2,1628.6,0.6,1000,0.00194,0.587491,0.984375,0.997179,0.990443
969.2,1394,0.7,952.2,0.00152,0.681985,0.979293,0.998337,0.988426
969.2,1218.8,0.8,931.4,0.00138,0.787404,0.988482,0.998264,0.993178
969.2,1082.2,0.9,965,0.0011,0.884361,0.986317,0.998908,0.992396
,,,,0.008851111,,,,0.978601333
