GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
266.4,2614.6,0.1,418.8,0.198,0.0957658,0.906852,0.967611,0.935765
397.2,2036.4,0.2,511.2,0.045,0.180352,0.916025,0.990447,0.950697
397.2,1346,0.3,468.4,0.0454,0.268416,0.904132,0.994154,0.946605
397.2,1005.2,0.4,432.2,0.0242,0.357846,0.900313,0.994163,0.944516
397.2,802,0.5,427.2,0.0226,0.420135,0.842882,0.99325,0.909374
397.2,667,0.6,427,0.02,0.478205,0.798666,0.994416,0.881859
397.2,571,0.7,416,0.012,0.62775,0.90118,0.998678,0.947032
397.2,499,0.8,408.2,0.0118,0.684141,0.858588,0.999093,0.921499
397.2,443.4,0.9,403.4,0.013,0.775258,0.865339,1,0.926306
,,,,,,,,
,,,,0.043555556,,,,
